"","model","target","horizon","forecast_date","q0.025","q0.25","q0.5","q0.75","q0.975","target_end_date"
"1","Model1","temperature","1 day","2022-02-02",2.76969929592493,4.50465064727904,5.41498153708827,6.3253124268975,8.06026377825161,"2022-02-03"
"2","Model1","temperature","2 day","2022-02-02",5.5427776331554,7.06389284416701,7.86202367501814,8.66015450586928,10.1812697168809,"2022-02-04"
"3","Model1","temperature","3 day","2022-02-02",2.78493172937798,4.5846190188682,5.52891692689963,6.47321483493106,8.27290212442127,"2022-02-05"
"4","Model1","wind","1 day","2022-02-02",4.99329252695985,10.1101990647021,12.1459180271211,14.0620616371298,18.1081851051248,"2022-02-03"
"5","Model1","wind","2 day","2022-02-02",11.5384507706066,15.9960883168612,19.2902143397595,21.7443426107744,27.0540291861841,"2022-02-04"
"6","Model1","wind","3 day","2022-02-02",15.6079616049207,21.9857580192292,24.2314269831447,26.9570959487602,32.6748924001457,"2022-02-05"
"7","Model2","temperature","1 day","2022-02-02",0.313903666594258,3.71053359325493,5.49274906637258,7.27496453949023,10.6715944661509,"2022-02-03"
"8","Model2","temperature","2 day","2022-02-02",2.90000589307295,6.19567101618719,7.9249101453975,9.65414927460781,12.949814397722,"2022-02-04"
"9","Model2","temperature","3 day","2022-02-02",0.33353270532785,3.86586600763107,5.71928519179364,7.5727043759562,11.1050376782594,"2022-02-05"
"10","Model2","wind","1 day","2022-02-02",3.65954576555986,8.78072975734741,11.4678206527101,14.1549115480727,19.2760955398603,"2022-02-03"
"11","Model2","wind","2 day","2022-02-02",9.76428492746409,15.6970302218052,18.8099482287532,21.9228662357012,27.8556115300423,"2022-02-04"
"12","Model2","wind","3 day","2022-02-02",15.8026919065807,21.847582673615,25.0193435339176,28.1911043942201,34.2359951612545,"2022-02-05"
"13","Model3","temperature","1 day","2022-02-02",2.56729559748613,3.99711390908677,4.74734115600586,5.49756840292495,6.92738671452559,"2022-02-03"
"14","Model3","temperature","2 day","2022-02-02",5.29950711693941,7.03384427798342,7.94385290145874,8.85386152493406,10.5881986859781,"2022-02-04"
"15","Model3","temperature","3 day","2022-02-02",2.39889037660836,4.47092294889662,5.55812072753906,6.6453185061815,8.71735107846976,"2022-02-05"
"16","Model3","wind","1 day","2022-02-02",4.55078493770221,8.33824787927688,10.3255338668823,12.3128198544878,16.1002827960624,"2022-02-03"
"17","Model3","wind","2 day","2022-02-02",9.75502032797968,15.1585986433368,17.9938621520996,20.8291256608624,26.2327039762195,"2022-02-04"
"18","Model3","wind","3 day","2022-02-02",14.9289169818853,21.6851219574809,25.230110168457,28.7750983794332,35.5313033550287,"2022-02-05"
"19","Model4","temperature","1 day","2022-02-02",2.65891132408793,4.50465064727904,5.19838227560474,6.3253124268975,8.38267432938167,"2022-02-03"
"20","Model4","temperature","2 day","2022-02-02",5.32106652782918,7.06389284416701,7.54754272801741,8.66015450586928,10.5885205055561,"2022-02-04"
"21","Model4","temperature","3 day","2022-02-02",2.67353446020286,4.5846190188682,5.30776024982364,6.47321483493106,8.60381820939812,"2022-02-05"
"22","Model4","wind","1 day","2022-02-02",4.79356082588146,10.1101990647021,11.6600813060363,14.0620616371298,18.8325125093298,"2022-02-03"
"23","Model4","wind","2 day","2022-02-02",11.0769127397823,15.9960883168612,18.5186057661691,21.7443426107744,28.1361903536315,"2022-02-04"
"24","Model4","wind","3 day","2022-02-02",14.9836431407239,21.9857580192292,23.2621699038189,26.9570959487602,33.9818880961515,"2022-02-05"
"25","Model5","temperature","1 day","2022-02-02",0.301347519930488,3.71053359325493,5.27303910371768,7.27496453949023,11.0984582447969,"2022-02-03"
"26","Model5","temperature","2 day","2022-02-02",2.78400565735003,6.19567101618719,7.6079137395816,9.65414927460781,13.4678069736309,"2022-02-04"
"27","Model5","temperature","3 day","2022-02-02",0.320191397114736,3.86586600763107,5.49051378412189,7.5727043759562,11.5492391853898,"2022-02-05"
"28","Model5","wind","1 day","2022-02-02",3.51316393493747,8.78072975734741,11.0091078266017,14.1549115480727,20.0471393614547,"2022-02-03"
"29","Model5","wind","2 day","2022-02-02",9.37371353036553,15.6970302218052,18.0575502996031,21.9228662357012,28.969835991244,"2022-02-04"
"30","Model5","wind","3 day","2022-02-02",15.1705842303175,21.847582673615,24.0185697925609,28.1911043942201,35.6054349677047,"2022-02-05"
"31","Model6","temperature","1 day","2022-02-02",2.46460377358668,3.99711390908677,4.55744750976563,5.49756840292495,7.20448218310661,"2022-02-03"
"32","Model6","temperature","2 day","2022-02-02",5.08752683226183,7.03384427798342,7.62609878540039,8.85386152493406,11.0117266334172,"2022-02-04"
"33","Model6","temperature","3 day","2022-02-02",2.30293476154403,4.47092294889662,5.3357958984375,6.6453185061815,9.06604512160855,"2022-02-05"
"34","Model6","wind","1 day","2022-02-02",4.36875354019412,8.33824787927688,9.91251251220701,12.3128198544878,16.7442941079049,"2022-02-03"
"35","Model6","wind","2 day","2022-02-02",9.36481951486049,15.1585986433368,17.2741076660156,20.8291256608624,27.2820121352683,"2022-02-04"
"36","Model6","wind","3 day","2022-02-02",14.3317603026099,21.6851219574809,24.2209057617187,28.7750983794332,36.9525554892298,"2022-02-05"
